"nci_id","nct_id","official_title","inclusion_indicaInclusionor","description","Text","Boolean",""
"NCI-2011-01973","NCT00980954","Phase III Randomized Study of Concurrent Chemotherapy and Pelvic Radiation Therapy with or without Adjuvant Chemotherapy in High-Risk Patients with Early-Stage Cervical Carcinoma following Radical Hysterectomy","Inclusion","Patients with known human immunodeficiency virus (HIV) positive must have a cluster of differentiation (CD)4 cell count be >= 350 cells/mm^3 within 14 days prior to study entry (note, however, that HIV testing is not required for entry into this protocol)","HIV Negative or HIV positive and CD4>= 350 ","(C15175 = NO) OR (C15175 = C17998) OR (C15175 = YES AND C103810 >= 350 {cells}/mm3)","c15175:affirmed;c15175:affirmed;:affirmed;c103810:affirmative;measurement:affirmed;measurement:affirmed;c15175:affirmed;"
"NCI-2011-01974","NCT00981656","A Phase II Protocol for Patients with Stage T1 Bladder Cancer to Evaluate Selective Bladder Preserving Treatment by Radiation Therapy Concurrent with Radiosensitizing Chemotherapy following a Thorough Transurethral Surgical Re-staging","Exclusion","Severe, active co-morbidity, defined as follows:   * Acquired immune deficiency syndrome (AIDS) based upon the current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients","AIDS excluded; immunocompromised excluded","(C2851 = NO) AND (C14139 = NO)","c2851:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-01975","NCT00980460","Treatment of Children with All Stages of Hepatoblastoma with Temsirolimus (NSC#683864) Added to High Risk Stratum Treatment","N/A","","","",""
"NCI-2011-01987","NCT01013649","A Phase II-R and a Phase III Trial Evaluating Both Erlotinib (Ph II-R) and Chemoradiation (Ph III) as Adjuvant Treatment for Patients with Resected Head of Pancreas Adenocarcinoma","Inclusion","Patients with active human immunodeficiency virus (HIV) infection are eligible if their cluster of differentiation (CD)4 count is > 499/cu mm and their viral load is < 50 copies/ml; use of highly active antiretroviral treatment (HAART) is allowed","HIV negative or HIV eligible if CD4 > 499 cell/mm3 and viral load < 50 copies/ml and HAART yes or no.  ","(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C103810 > 499 {cells}/mm3 AND C92544 < 50 {copies}/ml)","c15175:affirmed;c15175:affirmed;measurement:affirmed;c92544:affirmed;measurement:affirmed;c94631:affirmed;"
"NCI-2011-01992","NCT02085408","Phase III Randomized Trial of Clofarabine as Induction and Post-Remission Therapy vs. Standard Daunorubicin & Cytarabine Induction and Intermediate Dose Cytarabine Post-Remission Therapy, Followed by Decitabine Maintenance vs. Observation in Newly-Diagnosed Acute Myeloid Leukemia in Older Adults (Age >/= 60 Years)","Inclusion","*B21Patients with known human immunodeficiency virus (HIV) infection are excluded                            *No human immunodeficiency virus (HIV) infection; patients with immune dysfunction are at a significantly higher risk of toxicities from intensive immunosuppressive therapies","HIV positive excluded ","C15175 = NO OR C15175=C17998 ","c15175:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-02000","NCT01042522","A Randomized Phase II Trial of Paclitaxel and Carboplatin vs. Bleomycin, Etoposide, and Cisplatin for Newly Diagnosed Advanced Stage and Recurrent Chemonaive Sex Cord-Stromal Tumors of the Ovary","N/A","","","",""
"NCI-2011-02029","NCT01096368","Phase III Randomized Trial of Post-radiation Chemotherapy in Patients with Newly Diagnosed Ependymoma Ages 1 to 21 Years","N/A","","","",""
"NCI-2011-02034","NCT01118026","Phase II Trial of Response-Adapted Therapy Based on Positron Emission Tomography (PET) for Bulky Stage I and Stage II Classical Hodgkin Lymphoma (HL)","Inclusion","Patients with known human immunodeficiency virus (HIV) must have a CD4 count > 350 and be on concurrent antiretrovirals; patients with a history of intravenous drug abuse or any behavior associated with an increased risk of HIV infection should be tested for exposure to the HIV virus; an HIV test is not required for entry on this protocol, but is required if the patient is perceived to be at risk","HIV positive if CD4 > 350 and on retrovirals.  ","(C15175 = NO)  OR (C15175=C17998) OR (C15175 = YES AND C103810 > 350 {cells}/mm3)","c15175:affirmed;c15175:affirmed;:affirmed;measurement:affirmed;c94631:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-02037","NCT01101451","Randomized Phase III Clinical Trial of Adjuvant Radiation Versus Chemoradiation in Intermediate Risk, Stage I/IIA Cervical Cancer Treated With Initial Radical Hysterectomy and Pelvic Lymphadenectomy","N/A","","","",""
"NCI-2011-02073","NCT02589938","A Phase III Prospective Randomized Trial of Acupuncture for Treatment_x000D_ of Radiation-Induced Xerostomia in Patients with Head and Neck Cancer","N/A","","","",""
"NCI-2011-02500","NCT01366144","An Early Phase 1 Study of ABT-888 in Combination with Carboplatin and Paclitaxel in Patients with Hepatic or Renal Dysfunction and Solid Tumors","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible; however, HIV-positive patients without an acquired immune deficiency syndrome (AIDS)-defining diagnosis who are not receiving agents with the potential for pharmacokinetic (PK) interactions with ABT-888 may be eligible","HIV positive and antiretrovirals excluded;  HIV positive without AIDS defining diagnosis included  ","(C15175 = NO) OR (C15175=C17998) OR C15175 = YES AND C94631 = NO) OR (C15175 = YES AND C2851 =NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;c2851:affirmed;c15220:affirmed;"
"NCI-2011-02515","NCT01051635","A Phase I Study of Indenoisoquinolines LMP400 and LMP776 in Adults with Relapsed Solid Tumors and Lymphomas","Exclusion","Patients with clinically significant illnesses which could compromise participation in the study, including, but not limited to, active or uncontrolled infection, immune deficiencies, known human immunodeficiency virus (HIV) infection requiring antiretroviral therapy, ","HIV positive with antiretroviral therapy excluded ","(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C94631 = NO)","c15175:negated;c15175:negated;c94631:affirmed;"
"NCI-2011-02539","NCT01226940","A Phase I Trial of Lenalidomide and Radiotherapy in Children with Diffuse Intrinsic Pontine Gliomas and High-Grade Gliomas","Exclusion","Known human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible","HIV positive with antiretroviral therapy excluded ","(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C94631 = NO) ","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2011-02592","NCT01386385","A Dose Finding Study Followed by Phase II Randomized, Placebo-Controlled Study of Veliparib (ABT-888) Added to Chemoradiotherapy with Carboplatin and Paclitaxel for Unresectable Stage III Non-small Cell Lung Cancer (NSCLC), (NCI Study Number 8811)","Inclusion","Patients must not have any known immune deficiencies; patients with immune deficiency are at increased risk of lethal infections when treated with marrow-suppressive therapy; therefore, known human immunodeficiency virus (HIV) positive patients receiving combination anti-retroviral therapy are excluded from the study","HIV positive with antiretroviral therapy excluded ","(C15175 = NO) OR (C15175=C17998) OR (C14139=C17998) OR (C15175 = YES AND C94631 = NO)","c15175:affirmed;c15175:affirmed;"
"NCI-2011-02594","NCT01381718","A Phase II Placebo-Controlled Trial of Modafinil to Improve_x000D_ Neurocognitive Deficits in Children Treated for a Primary Brain Tumor","N/A","","","",""
"NCI-2011-02599","NCT01190930","Treatment of Patients with Newly Diagnosed Standard Risk B-Lymphoblastic Leukemia (B-ALL) or Localized B-Lineage Lymphoblastic Lymphoma (B-LLy)","N/A","","","",""
"NCI-2011-02611","NCT01231906","A Phase III Randomized Trial of Adding Vincristine-Topotecan-Cyclophosphamide to Standard Chemotherapy in Initial Treatment of Non-Metastatic Ewing Sarcoma","N/A","","","",""
"NCI-2011-02623","NCT01272037","A Phase III, Randomized Clinical Trial of Standard Adjuvant Endocrine Therapy +/- Chemotherapy in Patients with 1-3 Positive Nodes, Hormone Receptor-Positive and HER2-Negative Breast Cancer with Recurrence Score (RS) of 25 or Less. RxPONDER: A Clinical Trial Rx for Positive Node, Endocrine Responsive Breast Cancer","N/A","","","",""
"NCI-2011-02660","NCT01275664","Pilot Study of Standard Therapy for Prevention of Nausea and Emesis Associated with First Line Post-Operative Intraperitoneal Chemotherapy","N/A","","","",""
"NCI-2011-02673","NCT01359592","A Phase II Trial of PET-Directed Therapy for Limited Stage Diffuse Large B-Cell Lymphoma (DLBCL)","Inclusion","Patients must not be known to be human immunodeficiency virus (HIV)-positive","","(C15175 = NO) OR (C15175=C17998)","c15175:affirmed;c15175:affirmed;"
"NCI-2011-02674","NCT01368588","Androgen Deprivation Therapy and High Dose Radiotherapy with or without Whole-Pelvic Radiotherapy in Unfavorable Intermediate or Favorable High Risk Prostate Cancer: A Phase III Randomized Trial","Exclusion","Severe, active co-morbidity, defined as follows:   * Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients","AIDS excluded; immunocompromised excluded","(C2851 = NO) OR (C15175=C17998) AND (C14139 = NO)","c2851:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-03458","NCT01434316","Phase 1 Trial of ABT-888 and SCH727965 in Patients with Advanced Solid Tumors","N/A","","","",""
"NCI-2011-03797","NCT02883049","A Phase III Randomized Trial for Newly Diagnosed High Risk B-Lymphoblastic Leukemia (B-ALL) including a Stratum Evaluating Dasatinib (NSC#732517) in Patients with Ph-like Tyrosine Kinase Inhibitor (TKI) Sensitive Mutations","N/A","","","",""
"NCI-2012-00095","NCT01497444","Study of Sorafenib + TH-302: Phase I in Advanced Renal Cell Carcinoma (RCC) and Advanced Hepatocellular Carcinoma (HCC) and Phase II in 1st Line Advanced HCC","N/A","","","",""
"NCI-2012-00105","NCT01503632","A Comprehensive Approach to Improve Medication Adherence in Pediatric ALL","N/A","","","",""
"NCI-2012-00112","NCT01503086","Computerized Cognitive Training for Pediatric Brain Tumor Patients: A Pilot Study","N/A","","","",""
"NCI-2012-00234","NCT01515787","A Phase II/III Trial of Neoadjuvant FOLFOX, with Selective Use of Combined Modality Chemoradiation versus Preoperative Combined Modality Chemoradiation for Locally Advanced Rectal Cancer Patients Undergoing Low Anterior Resection with Total Mesorectal Excision","N/A","","","",""
"NCI-2012-00680","NCT01333046","Administration of Tumor-Associated Antigen (TAA)-Specific Cytotoxic T-Lymphocytes to Patients with Active or Relapsed Hodgkin or Non-Hodgkin Lymphoma","Exclusion","PROCUREMENT: Patients with active human immunodeficiency virus (HIV) positive at time of procurement (can be pending at the time of blood draw)","HIV positive excluded ","(C15175 = NO) OR (C15175=C17998)","c15175:affirmed;c15175:affirmed;"
"NCI-2012-00707","NCT01556243","Impact of Breast Conservation Surgery on Surgical Outcomes and Cosmesis in Patients with Multiple Ipsilateral Breast Cancers (MIBC)","N/A","","","",""
"NCI-2012-00719","NCT01573442","Randomized Double-Blind Placebo Controlled Study of Testosterone in the Adjuvant Treatment of Postmenopausal Women with Aromatase Inhibitor Induced Arthralgias","N/A","","","",""
"NCI-2012-00860","NCT01587352","A Phase 2 Study of Vorinostat (NSC 701852) in Metastatic Uveal Melanoma","Exclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy will be eligible unless the cluster of differentiation (CD)4 count is < 200 cells/mm^3 within one month of study enrollment","HIV positive on antiretrovirals included if CD4 >= 200","(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C103810 > 200 {cells}/mm3)  ","c15175:affirmed;c15175:affirmed;c94631:affirmed;measurement:affirmed;measurement:affirmed;"
"NCI-2012-00864","NCT01585805","A Randomized Phase II Study of Gemcitabine, Cisplatin +/- Veliparib in Patients with  Pancreas Adenocarcinoma and a Known BRCA/ PALB2 Mutation (Part I) and a Phase II Single Arm Study of Single-Agent Veliparib in Previously Treated Pancreas Adenocarcinoma (Part II)","Exclusion","Patients with a known active infection, e.g., hepatitis B virus or hepatitis C virus; human immunodeficiency virus (HIV)-positive patients who are otherwise well and who do not have evidence of significant immune compromise are eligible","HIV positive and healthy and not immunocompromised included ","(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C115935 = YES AND C14139 = NO)","c3096:affirmed;c141405:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2012-01040","NCT01638533","A Phase 1 and Pharmacokinetic Single Agent Study of Romidepsin in Patients with, Lymphomas, Chronic Lymphocytic Leukemia and Select Solid Tumors and Varying Degrees of Liver Dysfunction","Inclusion","Human immunodeficiency virus (HIV)-positive patients who are not receiving: agents with the potential for PK interactions with romidepsin or hepatotoxic antiretrovirals (nucleoside reverse-transcriptase inhibitors [NRTIs]: abacavir, didanosine, emtricitabine, lamivudine, stavudine, and zidovudine), dual protease inhibitor (PI)-based regimens except low-dose boosting with ritonavir, atazanavir, indinavir, maraviroc, and nevirapine may be eligible; additionally, the HIV-positive patients should have a cluster of differentiation (CD)4 count > 250/mm^3; if the specific cause of hepatic dysfunction is unknown, the patient should be worked up for other viral causes of hepatitis and their eligibility determined after consultation with the principal investigator","HIV positive eligible if CD4 > 250 ","(C15175 = NO) AND (C15175 = C17998) AND  (C15175 = YES AND   C103810 > 250 {cells}/mm3)","c15175:affirmed;c15175:affirmed;c94631:affirmed;c1428:affirmed;c947:affirmed;c97366:affirmed;c1609:affirmed;c17998:affirmed;c3095:affirmed;"
"NCI-2012-01695","NCT01775475","Randomized, Phase II Trial of CHOP vs. Oral Chemotherapy with Concomitant Antiretroviral Therapy in Patients with HIV-Associated Lymphoma in Sub-Saharan Africa","Inclusion","All participants must be prescribed combination antiretroviral therapy with the goal of virological suppression using an acceptable regimen that adheres to national guidelines for treatment of HIV infection; non-suppressed, treatment experienced patients, defined as patients with a viral load > 400 copies/mL who have been on antiretroviral therapy for more than 4 months can be enrolled if an alternative antiretroviral therapy (ART) regimen is available that includes at least two ART drugs that, in the opinion of the site investigator, are expected to have activity based on genotypic testing (if available) and treatment history; patients are not allowed to receive zidovudine (azidothymidine [AZT]) as part of concurrent chemotherapy and ART regimen, since it is myelosuppressive; zidovudine may be discontinued and substituted as clinically indicated prior to or at the time of enrollment            *HIV-1 infection, documented by any licensed rapid HIV test or HIV enzyme or chemiluminescence immunoassay (E/CIA) test kit at any time prior to study entry and confirmed by a licensed Western blot or a second antibody test by a method other than the initial rapid HIV and/or E/CIA, or confirmed by HIV-1 antigen or plasma HIV-1 ribonucleic acid (RNA) viral load > 1,000 copies/mL   * WHO (World Health Organization) and CDC (Centers for Disease Control and Prevention) guidelines mandate that confirmation of the initial test result must use a test that is different from the one used for the initial assessment; a reactive initial rapid test should be confirmed by either another type of rapid assay or an E/CIA that is based on a different antigen preparation and/or different test principle (e.g., indirect versus competitive), or a Western blot or a plasma HIV-1 RNA viral load","antiviral therapy = Y and virological suppression =Y and immunocompromised =NO and viarl load > 400 copies/ML and antiretroviral therapy > 4 months and zidovudivine  = NO","HIV=YES AND C94631=YES AND C14139=NO AND C947=NO ","c94631:affirmed;c63350:affirmed;c15175:affirmed;c92544:affirmed;measurement:affirmed;c94631:affirmed;c94631:affirmed;c947:affirmed;c947:affirmed;c15175:affirmed;c15175:affirmed;c15175:affirmed;c92544:affirmed;c92544:affirmed;"
"NCI-2012-01712","NCT01695941","A Phase I Study of MLN8237 in Combination with Bortezomib and Rituximab in Relapsed and Refractory Mantle Cell and Low Grade Non-Hodgkin Lymphoma","Exclusion/Inclusion","Exclusion:  HIV-positive patients on combination antiretroviral therapy which include cytochrome p450 inhibitors are ineligible; patients with CD4 counts less than 300 CD4+ cells/mm^3 and or a high viral load are ineligible   Inclusion: Patients with human immunodeficiency virus (HIV) who are not receiving cytochrome p450 inhibitors, and who have a minimum of 300+ cluster of differentiation 4 (CD4)+ cells/mm^3, an undetectable viral load, and no history of acquired immune deficiency syndrome (AIDS) indicator conditions","(HIV =NO) OR (HIV =UNKNOWN) OR (HIV =YES and HAART=No) or (HIV=YES and HAART=YES AND Cytochrome P450 3A4 Inhibitor=NO AND  CD4>= 300 {cells}/mm3 AND Viral Load=undetectable AND AIDS=NO)","(C15175 =NO) OR (C15175 =C17998) OR (C15175  =YES and C94631=No) or (C15175 =YES and C94631=YES AND C111373=NO AND  C103810>= 300 {cells}/mm3 AND C92544=C111568 AND C2851=NO)","c94631:affirmed;c111374:affirmed;:affirmed;measurement:affirmed;:affirmed;measurement:affirmed;c92544:affirmed;c15175:affirmed;c15175:affirmed;c111374:affirmed;:affirmed;measurement:affirmed;c111568:affirmed;c92544:affirmed;c2851:affirmed;"
"NCI-2012-01964","NCT01595061","A Phase II Trial Evaluating Cisplatin (NSC #119875) and Gemcitabine (NSC #613327) Concurrent with Intensity-Modulated Radiation Therapy (IMRT) in the Treatment of Locally Advanced Squamous Cell Carcinoma of the Vulva (NCT #01595061)","N/A","","","",""
"NCI-2012-01967","NCT01602666","Phase 2 Trial of Response-Based Radiation Therapy for Patients with Localized Central Nervous System Germ Cell Tumors (CNS GCT)","N/A","","","",""
"NCI-2012-01977","NCT01622868","Phase II Randomized Study of Whole Brain Radiotherapy/Stereotactic Radiosurgery in Combination with Concurrent Lapatinib in Patients with Brain Metastasis from HER2-Positive Breast Cancer: A Collaborative Study of NRG Oncology and KROG","N/A","","","",""
"NCI-2012-01990","NCT01649089","Evaluation of Physical Function and Quality of Life (QOL) before and after Non-radical Surgical Therapy (Extra Fascial Hysterectomy or Cone Biopsy with Pelvic Lymphadenectomy) for Stage IA1 (LVSI+) and IA2-IB1 (â‰¤ 2CM) Cervical Cancer","N/A","","","",""
"NCI-2012-01995","NCT01674140","Phase III Randomized, Placebo-Controlled Clinical Trial Evaluating the Use of Adjuvant Endocrine Therapy +/- One Year of Everolimus in Patients with High-Risk, Hormone Receptor-Positive and HER2/Neu Negative Breast Cancer. e^3 Breast Cancer Study-Evaluating Everolimus with Endocrine Therapy.","Inclusion","Patients known to be human immunodeficiency virus (HIV) positive may be enrolled if baseline cluster of differentiation (CD)4 count is > 500 cells/mm^3 AND not taking anti-retroviral therapy; patients with known hepatitis are not eligible unless there is a known negative hepatitis panel; (exception: previous history of hepatitis A infection that is not currently active is allowed); patients must not have any known uncontrolled underlying pulmonary disease","(HIV =NO) OR (HIV =UNKNOWN) OR (HIV =YES AND CD4>500 {cells}/mm3 AND HAART=NO) OR (C3096=NO) OR (C3096=Y AND Viral Load=0 {copies}/mm3 OR (C141405=NO) OR (C129452C=NO)","(C15175 =NO) OR (C15175 =C17998) OR (C15175 =YES AND C103810>500 {cells}/mm3 AND C94631=NO) OR (C3096=NO) OR (C3096=Y AND C92544=C111568 {copies}/mm3 OR (C141405=NO) OR (C129452C=NO)","c15175:affirmed;c15175:affirmed;measurement:affirmed;measurement:affirmed;c3095:affirmed;c3095:affirmed;c3095:affirmed;"
"NCI-2012-01998","NCT01668719","A Randomized Phase I/II Study of Optimal Induction Therapy of Bortezomib, Dexamethasone and Lenalidomide with or without Elotuzumab (NSC-764479) for Newly Diagnosed High Risk Multiple Myeloma (HRMM)","Inclusion","Patients who are known to be human immunodeficiency virus positive (HIV+) are eligible providing they meet all of the following additional criteria within 28 days prior to registration:  * Cluster of differentiation (CD)4 cells >= 500/mm^3  * Viral load of < 50 copies HIV messenger ribonucleic acid (mRNA)/mm^3 if on combination antiretroviral therapy (cART) or < 25,000 copies HIV mRNA if not on cART  * No zidovudine or stavudine as part of cART  * Patients who are HIV+ and do not meet all of these criteria are not eligible for this study","(HIV =NO) OR (HIV =UNKNOWN) OR (HIV =YES AND  CD4>=500 {cells}/mm3) AND ((HIV=YES AND cART=YES AND Viral Load<50 {copies}/mm3) OR (HIV =YES AND cART=NO AND Viral Load<25000 {copies}/mm3)) AND (Zidovudine=NO) AND (Stavudine=NO)","(C15175 =NO) OR (C15175 =C17998) OR (C15175 =YES AND  C103810>=500 {cells}/mm3) AND ((C15175 =YES AND C94631=YES AND C92544<50 {copies}/mm3) OR (C15175 =YES AND C94631=NO AND C92544<25000 {copies}/mm3)) AND (C947=NO) AND (C1428=NO)","c15175:affirmed;c15175:affirmed;c92544:affirmed;measurement:affirmed;c15175:affirmed;measurement:affirmed;c94631:affirmed;c15175:affirmed;c947:affirmed;c1428:affirmed;c15175:affirmed;"
"NCI-2012-02009","NCT01711541","Carboplatin-Paclitaxel Induction Chemotherapy and ABT-888 (Veliparib) - a Phase 1/Randomized Phase 2 Study in Patients with Locoregionally Advanced Squamous Cell Carcinoma of the Head and Neck","Inclusion","Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are not eligible","HIV = NO or HIV = Y and HAART = NO","(C15175 = NO) OR (C15175 =C17998)  or (C15175 = YES and C94631 = NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;"
"NCI-2012-02011","NCT01711554","A Phase I Study of Lenalidomide and Anti-GD2 Mab Ch14.18 +/- Isotretinoin in Patients with Refractory/Recurrent Neuroblastoma","N/A","","","",""
"NCI-2012-02020","NCT01781468","A Phase III Randomized, Double-Blind Placebo Controlled Study of Armodafinil (NuvigilÂ®) to_x000D_ Reduce Cancer-Related Fatigue in Patients with High Grade Glioma","N/A","","","",""
"NCI-2012-02045","NCT01805076","Effect of Preoperative Breast MRI on Surgical Outcomes, Costs and Quality of Life of Women with Breast Cancer","N/A","","","",""
"NCI-2012-02057","NCT01730937","Randomized Phase III Study of Sorafenib Versus Stereotactic Body Radiation Therapy Followed by Sorafenib in Hepatocellular Carcinoma","Exclusion","Use of combination anti-retroviral therapy for human immunodeficiency virus (HIV)","HIV = NO or HIV = Y and HAART = NO","(C15175 = NO) OR (C15175 =C17998) or (C15175 = YES and C94631 = NO)","c15175:affirmed;c15175:affirmed;"
"NCI-2012-02067","NCT01349881","A Double Blind Placebo-Controlled Trial of Eflornithine and Sulindac to Prevent Recurrence of High Risk Adenomas and Second Primary Colorectal Cancers in Patients with Stage 0-III Colon or Rectal Cancer, Phase III- Preventing Adenomas of the Colon with Eflornithine and Sulindac (PACES)","N/A","","","",""
"NCI-2012-02078","NCT01789684","A Cluster Randomized Controlled Trial Comparing Interventions to Enhance Utilization of Genetics_x000D_ Services Among Breast Cancer Patients","N/A","","","",""
"NCI-2012-02608","NCT01863550","Randomized Phase III Trial of Bortezomib, LENalidomide and Dexamethasone (VRd) versus Carfilzomib, Lenalidomide, Dexamethasone (CRd) Followed by Limited or Indefinite DURation Lenalidomide MaintenANCE in Patients with Newly Diagnosed Symptomatic Multiple Myeloma (ENDURANCE)","Inclusion","STEP I: Human immunodeficiency virus (HIV) infection is not excluded; known HIV positive patients must meet the following criteria:  * Cluster of differentiation (CD)4 cell count >= 350/mm^3  * No history of acquired immune deficiency syndrome (AIDS)-related illness  * Not currently prescribed zidovudine or stavudine","STEP I: HIV=NO OR HIV=UNKNOWN OR (HIV=YES AND CD4>=350{cells}/mm3 AND AIDS=NO AND Zidovudine=NO AND Stavudine=NO)","STEP I: C15175=NO OR C15175=C17998 OR (C15175=YES AND  C103810>=350{cells}/mm3 AND C2851=NO AND C947=NO AND C1428=NO)","c15175:affirmed;c15175:affirmed;c15175:affirmed;:affirmed;c103810:affirmative;c2851:affirmed;c947:affirmed;c1428:affirmed;"
"NCI-2012-02767","NCT01749397","A Phase I Trial of the Combination of the PARP Inhibitor ABT-888 with Intraperitoneal Floxuridine (FUDR) in Epithelial Ovarian, Primary Peritoneal and Fallopian Tube Cancers","Exclusion","Immunocompromised patients (other than that related to the use of corticosteroids) with the exception of patients known to be human immunodeficiency virus (HIV) positive and have a cluster of differentiation 4 (CD4) count > 400 and do not require antiretroviral therapy","(Immunocompromised=NO) OR (HIV=NO) OR (HIV =UNKNOWN) OR (HIV =Y AND  CD4>400 {cells}/mm3 AND HAART=NO)","(C14139=NO) OR (C15175=NO) OR (C15175 =C17998) OR (C15175 =Y AND  C103810>400 {cells}/mm3 AND C94631=NO)","c14139:affirmed;c15175:affirmed;c15175:affirmed;:affirmed;measurement:affirmed;c94631:affirmed;"
"NCI-2012-02869","NCT01806129","EROS: Engendering Reproductive Health within Oncologic Survivorship","N/A","","","",""
"NCI-2012-02875","NCT01586403","Transfer of Genetically Engineered Lymphocytes in Melanoma Patients: A Phase 1 Dose Escalation Study","Exclusion","Known infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or hepatitis C virus (HCV)","HIV = NO or HIV = Y or HBV = Y or HCV =Y","C15175 = NO OR C15175 =C17998","c15175:affirmed;c15175:affirmed;c141405:affirmed;c129452:affirmed;"
