nci_id	nct_id	official_title	inclusion_indicaInclusionor	description	Text	Boolean
NCI-2011-02029	NCT01096368	Phase III Randomized Trial of Post-radiation Chemotherapy in Patients with Newly Diagnosed Ependymoma Ages 1 to 21 Years	N/A			
NCI-2011-02034	NCT01118026	Phase II Trial of Response-Adapted Therapy Based on Positron Emission Tomography (PET) for Bulky Stage I and Stage II Classical Hodgkin Lymphoma (HL)	N/A			
NCI-2011-02037	NCT01101451	Randomized Phase III Clinical Trial of Adjuvant Radiation Versus Chemoradiation in Intermediate Risk, Stage I/IIA Cervical Cancer Treated With Initial Radical Hysterectomy and Pelvic Lymphadenectomy	N/A			
NCI-2011-02073	NCT02589938	A Phase III Prospective Randomized Trial of Acupuncture for Treatment_x000D_ of Radiation-Induced Xerostomia in Patients with Head and Neck Cancer	N/A			
NCI-2011-02500	NCT01366144	An Early Phase 1 Study of ABT-888 in Combination with Carboplatin and Paclitaxel in Patients with Hepatic or Renal Dysfunction and Solid Tumors	N/A			
NCI-2011-02515	NCT01051635	A Phase I Study of Indenoisoquinolines LMP400 and LMP776 in Adults with Relapsed Solid Tumors and Lymphomas	N/A			
NCI-2011-02539	NCT01226940	A Phase I Trial of Lenalidomide and Radiotherapy in Children with Diffuse Intrinsic Pontine Gliomas and High-Grade Gliomas	N/A			
NCI-2011-02592	NCT01386385	A Dose Finding Study Followed by Phase II Randomized, Placebo-Controlled Study of Veliparib (ABT-888) Added to Chemoradiotherapy with Carboplatin and Paclitaxel for Unresectable Stage III Non-small Cell Lung Cancer (NSCLC), (NCI Study Number 8811)	N/A			
NCI-2011-02594	NCT01381718	A Phase II Placebo-Controlled Trial of Modafinil to Improve_x000D_ Neurocognitive Deficits in Children Treated for a Primary Brain Tumor	N/A			
NCI-2011-02599	NCT01190930	Treatment of Patients with Newly Diagnosed Standard Risk B-Lymphoblastic Leukemia (B-ALL) or Localized B-Lineage Lymphoblastic Lymphoma (B-LLy)	Inclusion	B-ALL patients must have an initial white blood cell count < 50,000/uL	 initial white blood cell count less than 50,000 per microliter	(C8644 = YES) AND (C51948 <= 50000/uL) OR (C8644 = NO)
NCI-2011-02611	NCT01231906	A Phase III Randomized Trial of Adding Vincristine-Topotecan-Cyclophosphamide to Standard Chemotherapy in Initial Treatment of Non-Metastatic Ewing Sarcoma	N/A			
NCI-2011-02623	NCT01272037	A Phase III, Randomized Clinical Trial of Standard Adjuvant Endocrine Therapy +/- Chemotherapy in Patients with 1-3 Positive Nodes, Hormone Receptor-Positive and HER2-Negative Breast Cancer with Recurrence Score (RS) of 25 or Less. RxPONDER: A Clinical Trial Rx for Positive Node, Endocrine Responsive Breast Cancer	N/A			
NCI-2011-02660	NCT01275664	Pilot Study of Standard Therapy for Prevention of Nausea and Emesis Associated with First Line Post-Operative Intraperitoneal Chemotherapy	N/A			
NCI-2011-02673	NCT01359592	A Phase II Trial of PET-Directed Therapy for Limited Stage Diffuse Large B-Cell Lymphoma (DLBCL)	N/A			
NCI-2011-02674	NCT01368588	Androgen Deprivation Therapy and High Dose Radiotherapy with or without Whole-Pelvic Radiotherapy in Unfavorable Intermediate or Favorable High Risk Prostate Cancer: A Phase III Randomized Trial	N/A			
NCI-2011-03458	NCT01434316	Phase 1 Trial of ABT-888 and SCH727965 in Patients with Advanced Solid Tumors	N/A			
NCI-2011-03797	NCT02883049	A Phase III Randomized Trial for Newly Diagnosed High Risk B-Lymphoblastic Leukemia (B-ALL) including a Stratum Evaluating Dasatinib (NSC#732517) in Patients with Ph-like Tyrosine Kinase Inhibitor (TKI) Sensitive Mutations	Inclusion	White Blood Cell Count (WBC) Criteria  * Age 1-9.99 years: WBC >= 50 000/uL   * Age 10-30.99 years: Any WBC   * Age 1-30.99 years: Any WBC with:  ** Testicular leukemia  ** CNS leukemia (CNS3)  ** Steroid pretreatment	between age 1 and 9.99 white blood count greater than or equal to 50000 / uL , between age 10 and 31.99 any white blood count, between age 1 and 31.99 any white blood count with testicular leukemia, CNS leukemia, or steroid treatment	(C25150>= 1 a AND C25150 < 10 a AND C51948 >= 50000/ uL) OR (C25150 >= 10 a AND C25150 < 31 a ) OR (C25150 >= 1 a AND C25150 < 31 a  AND ( C9277 = YES OR C5440 = YES OR C15370 = YES) 
NCI-2012-00095	NCT01497444	Study of Sorafenib + TH-302: Phase I in Advanced Renal Cell Carcinoma (RCC) and Advanced Hepatocellular Carcinoma (HCC) and Phase II in 1st Line Advanced HCC	N/A			
NCI-2012-00105	NCT01503632	A Comprehensive Approach to Improve Medication Adherence in Pediatric ALL	N/A			
NCI-2012-00112	NCT01503086	Computerized Cognitive Training for Pediatric Brain Tumor Patients: A Pilot Study	N/A			
NCI-2012-00234	NCT01515787	A Phase II/III Trial of Neoadjuvant FOLFOX, with Selective Use of Combined Modality Chemoradiation versus Preoperative Combined Modality Chemoradiation for Locally Advanced Rectal Cancer Patients Undergoing Low Anterior Resection with Total Mesorectal Excision	N/A			
NCI-2012-00680	NCT01333046	Administration of Tumor-Associated Antigen (TAA)-Specific Cytotoxic T-Lymphocytes to Patients with Active or Relapsed Hodgkin or Non-Hodgkin Lymphoma	N/A			
NCI-2012-00707	NCT01556243	Impact of Breast Conservation Surgery on Surgical Outcomes and Cosmesis in Patients with Multiple Ipsilateral Breast Cancers (MIBC)	N/A			
NCI-2012-00719	NCT01573442	Randomized Double-Blind Placebo Controlled Study of Testosterone in the Adjuvant Treatment of Postmenopausal Women with Aromatase Inhibitor Induced Arthralgias	Inclusion	White blood cell (WBC) > 3.0	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-00860	NCT01587352	A Phase 2 Study of Vorinostat (NSC 701852) in Metastatic Uveal Melanoma	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-00864	NCT01585805	A Randomized Phase II Study of Gemcitabine, Cisplatin +/- Veliparib in Patients with  Pancreas Adenocarcinoma and a Known BRCA/ PALB2 Mutation (Part I) and a Phase II Single Arm Study of Single-Agent Veliparib in Previously Treated Pancreas Adenocarcinoma (Part II)	N/A			
NCI-2012-01040	NCT01638533	A Phase 1 and Pharmacokinetic Single Agent Study of Romidepsin in Patients with, Lymphomas, Chronic Lymphocytic Leukemia and Select Solid Tumors and Varying Degrees of Liver Dysfunction	N/A			
NCI-2012-01695	NCT01775475	Randomized, Phase II Trial of CHOP vs. Oral Chemotherapy with Concomitant Antiretroviral Therapy in Patients with HIV-Associated Lymphoma in Sub-Saharan Africa	Inclusion	White blood cells (WBC) >= 3,000 cells/uL (3.0 x 10^9 L) or	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-01712	NCT01695941	A Phase I Study of MLN8237 in Combination with Bortezomib and Rituximab in Relapsed and Refractory Mantle Cell and Low Grade Non-Hodgkin Lymphoma	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-01964	NCT01595061	A Phase II Trial Evaluating Cisplatin (NSC #119875) and Gemcitabine (NSC #613327) Concurrent with Intensity-Modulated Radiation Therapy (IMRT) in the Treatment of Locally Advanced Squamous Cell Carcinoma of the Vulva (NCT #01595061)	N/A			
NCI-2012-01967	NCT01602666	Phase 2 Trial of Response-Based Radiation Therapy for Patients with Localized Central Nervous System Germ Cell Tumors (CNS GCT)	N/A			
NCI-2012-01977	NCT01622868	Phase II Randomized Study of Whole Brain Radiotherapy/Stereotactic Radiosurgery in Combination with Concurrent Lapatinib in Patients with Brain Metastasis from HER2-Positive Breast Cancer: A Collaborative Study of NRG Oncology and KROG	N/A			
NCI-2012-01990	NCT01649089	Evaluation of Physical Function and Quality of Life (QOL) before and after Non-radical Surgical Therapy (Extra Fascial Hysterectomy or Cone Biopsy with Pelvic Lymphadenectomy) for Stage IA1 (LVSI+) and IA2-IB1 (â‰¤ 2CM) Cervical Cancer	N/A			
NCI-2012-01995	NCT01674140	Phase III Randomized, Placebo-Controlled Clinical Trial Evaluating the Use of Adjuvant Endocrine Therapy +/- One Year of Everolimus in Patients with High-Risk, Hormone Receptor-Positive and HER2/Neu Negative Breast Cancer. e^3 Breast Cancer Study-Evaluating Everolimus with Endocrine Therapy.	N/A			
NCI-2012-01998	NCT01668719	A Randomized Phase I/II Study of Optimal Induction Therapy of Bortezomib, Dexamethasone and Lenalidomide with or without Elotuzumab (NSC-764479) for Newly Diagnosed High Risk Multiple Myeloma (HRMM)	N/A			
NCI-2012-02009	NCT01711541	Carboplatin-Paclitaxel Induction Chemotherapy and ABT-888 (Veliparib) - a Phase 1/Randomized Phase 2 Study in Patients with Locoregionally Advanced Squamous Cell Carcinoma of the Head and Neck	Inclusion	Leukocytes >= 3,000/mm^3	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-02011	NCT01711554	A Phase I Study of Lenalidomide and Anti-GD2 Mab Ch14.18 +/- Isotretinoin in Patients with Refractory/Recurrent Neuroblastoma	N/A			
NCI-2012-02020	NCT01781468	A Phase III Randomized, Double-Blind Placebo Controlled Study of Armodafinil (NuvigilÂ®) to_x000D_ Reduce Cancer-Related Fatigue in Patients with High Grade Glioma	N/A			
NCI-2012-02045	NCT01805076	Effect of Preoperative Breast MRI on Surgical Outcomes, Costs and Quality of Life of Women with Breast Cancer	N/A			
NCI-2012-02057	NCT01730937	Randomized Phase III Study of Sorafenib Versus Stereotactic Body Radiation Therapy Followed by Sorafenib in Hepatocellular Carcinoma	N/A			
NCI-2012-02067	NCT01349881	A Double Blind Placebo-Controlled Trial of Eflornithine and Sulindac to Prevent Recurrence of High Risk Adenomas and Second Primary Colorectal Cancers in Patients with Stage 0-III Colon or Rectal Cancer, Phase III- Preventing Adenomas of the Colon with Eflornithine and Sulindac (PACES)	Inclusion	Total white blood cells (WBC) >= 4.0 x 10^3/mcL	Leukocyte count greater than or equal to 4000 per microliter	(C51948 >= 4000/uL)
NCI-2012-02078	NCT01789684	A Cluster Randomized Controlled Trial Comparing Interventions to Enhance Utilization of Genetics_x000D_ Services Among Breast Cancer Patients	N/A			
NCI-2012-02608	NCT01863550	Randomized Phase III Trial of Bortezomib, LENalidomide and Dexamethasone (VRd) versus Carfilzomib, Lenalidomide, Dexamethasone (CRd) Followed by Limited or Indefinite DURation Lenalidomide MaintenANCE in Patients with Newly Diagnosed Symptomatic Multiple Myeloma (ENDURANCE)	N/A			
NCI-2012-02767	NCT01749397	A Phase I Trial of the Combination of the PARP Inhibitor ABT-888 with Intraperitoneal Floxuridine (FUDR) in Epithelial Ovarian, Primary Peritoneal and Fallopian Tube Cancers	N/A			
NCI-2012-02869	NCT01806129	EROS: Engendering Reproductive Health within Oncologic Survivorship	N/A			
NCI-2012-02875	NCT01586403	Transfer of Genetically Engineered Lymphocytes in Melanoma Patients: A Phase 1 Dose Escalation Study	N/A			
NCI-2012-03124	NCT01755195	A Phase 2 Study of Cabozantinib (XL184), a Dual Inhibitor of MET and VEGFR, in Patients with Metastatic Refractory Soft Tissue Sarcoma	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2012-03125	NCT01767194	A Phase II Randomized Trial of Irinotecan/Temozolomide with Temsirolimus (NSC# 683864) or Chimeric 14.18 Antibody (Ch14.18) (NSC# 764038) in Children with Refractory, Relapsed or Progressive Neuroblastoma	N/A			
NCI-2012-03173	NCT01089101	A Phase 1 and Phase II and Re-Treatment Study of AZD6244 for Recurrent or Refractory Pediatric Low Grade Glioma	N/A			
NCI-2012-03198	NCT01872975	A Randomized Phase III Clinical Trial Evaluating Post-Mastectomy Chestwall and Regional Nodal XRT and Post-Lumpectomy Regional Nodal XRT in Patients with Positive Axillary Nodes Before Neoadjuvant Chemotherapy Who Convert to Pathologically Negative Axillary Nodes After Neoadjuvant Chemotherapy	N/A			
NCI-2013-00046	NCT01771107	A Pilot Trial of AVD and Brentuximab Vedotin (SGN-35) in the Treatment of Stage II-IV HIV-Associated Hodgkin Lymphoma	N/A			
NCI-2013-00370	NCT01220583	A Randomized Phase II / Phase III Study of Adjuvant Concurrent Radiation and Chemotherapy Versus Radiation Alone in Resected High-Risk Malignant Salivary Gland Tumors	N/A			
NCI-2013-00426	NCT01824836	A Cohort Study to Evaluate Genetic Predictors of Aromatase Inhibitor Musculoskeletal Symptoms (AIMSS)	N/A			
NCI-2013-00500	NCT01810913	Randomized Phase II/III Trial of Surgery and Postoperative Radiation Delivered with Concurrent Cisplatin versus Docetaxel versus Docetaxel and Cetuximab for High-Risk Squamous Cell Cancer of the Head and Neck	N/A			
NCI-2013-00595	NCT01817075	Impact of Cleansing with Chlorhexidine Gluconate (CHG) on Reducing Central Line Associated Bloodstream Infection (CLABSI) and Acquisition of Multi-drug Resistant Organisms (MDRO) in Children with Cancer or Those Receiving Allogeneic Hematopoietic Cell Transplantation (HCT)	N/A			
NCI-2013-00716	NCT00978250	Multi-Histology Phase II Study of 5-Fluoro-2'-Deoxycytidine with Tetrahydrouridine (FdCyd + THU)	N/A			
NCI-2013-00737	NCT01822496	A Randomized Phase II Study of Individualized Combined Modality Therapy for Stage III Non-small Cell Lung Cancer (NSCLC)	N/A			
NCI-2013-00739	NCT01822509	A Phase I/Ib Study of Ipilimumab or Nivolumab in Patients with Relapsed Hematologic Malignancies after Allogeneic Hematopoietic Cell Transplantation	N/A			
NCI-2013-00740	NCT01822522	Phase I Trial of Cabozantinib (XL184) for Advanced Solid Tumors in Persons with HIV Infection	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-00805	NCT01244737	A Phase II Study of [18F] FLT for PET Imaging of Brain Tumors in Children	N/A			
NCI-2013-00826	NCT01841723	A Multicenter Phase 2 Study of the Bruton's Tyrosine Kinase Inhibitor PCI-32765 (Ibrutinib) for Treatment of Relapsed Hairy Cell Leukemia	N/A			
NCI-2013-00858	NCT01849146	Phase I Study of AZD1775 (MK-1775) with Radiation and Temozolomide in Patients with Newly Diagnosed Glioblastoma and Evaluation of Intratumoral Drug Distribution in Patients with Recurrent Glioblastoma	N/A			
NCI-2013-00875	NCT01901094	A Randomized Phase III Trial Comparing Axillary Lymph Node Dissection to Axillary Radiation in Breast Cancer Patients (cT1-3 N1) Who Have Positive Sentinel Lymph Node Disease after Neoadjuvant Chemotherapy	N/A			
NCI-2013-00877	NCT01851369	A Phase I/II Trial of TRC102 (Methoxyamine HCl) in Combination with Temozolomide in Patients with Relapsed Solid Tumors and Lymphomas	N/A			
NCI-2013-00890	NCT01935934	A Phase 2 Study of XL184 (Cabozantinib) in Recurrent or Metastatic Endometrial Cancer	N/A			
NCI-2013-00998	NCT01881867	A Phase 2 Study of Recombinant Glycosylated Human Interleukin-7 (CYT107) after Completion of Standard FDA Approved Therapy with Sipuleucel-T (ProvengeÂ®) for Patients with Asymptomatic or Minimally Symptomatic Metastatic Castration-Resistant Prostate Cancer (mCRPC)	N/A			
NCI-2013-01132	NCT01534598	Phase I Trial of Oral 5-Fluoro-2'-Deoxycytidine with Oral Tetrahydrouridine in Patients with Advanced Solid Tumors	N/A			
NCI-2013-01272	NCT01897012	A Phase 1 Trial of MLN8237 plus Romidepsin for Relapsed/Refractory Aggressive B-Cell and T-Cell Lymphomas	N/A			
NCI-2013-01275	NCT01896999	A Phase I Study with an Expansion Cohort/Randomized Phase II Study of the Combinations of Ipilimumab, Nivolumab, and Brentuximab Vedotin in Patients with Relapsed/Refractory Hodgkin Lymphoma	N/A			
NCI-2013-01320	NCT01902173	Phase I/II Study of the Safety and Efficacy of the AKT Inhibitor GSK2141795 in Combination with Dabrafenib and Trametinib in Patients with BRAF Mutant Cancer	N/A			
NCI-2013-01340	NCT01953588	ALTernate Approaches for Clinical Stage II or III Estrogen Receptor Positive Breast Cancer NeoAdjuvant TrEatment (ALTERNATE) in Postmenopausal Women: A Phase III Study	N/A			
NCI-2013-01357	NCT01912625	A Phase 1 Study of Trametinib in Combination with Chemoradiation for KRAS Mutant Non-small Cell Lung Cancer	N/A			
NCI-2013-01368	NCT01925131	A Phase I Study of Inotuzumab Ozogamicin (NSC-772518) in Combination with CVP (Cyclophosphamide, Vincristine, Prednisone) for Patients with Relapsed/Refractory CD22-Positive Acute Leukemia (including B-ALL, Mixed Phenotypic Leukemia and Burkitt's Leukemia)	N/A			
NCI-2013-01452	NCT00942877	Phase II Study of Cediranib (AZD2171) in Patients with Alveolar Soft Part Sarcoma	N/A			
NCI-2013-01474	NCT01273155	Phase I Pharmacokinetic Study of Belinostat for Solid Tumors and Lymphomas in Patients with Varying Degrees of Hepatic Dysfunction	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-01475	NCT01273168	Phase I Trial of Z-Endoxifen in Adults with Refractory Hormone Receptor-Positive Breast Cancer, Desmoid Tumors, Gynecologic Tumors, or Other Hormone Receptor-Positive Solid Tumors	N/A			
NCI-2013-01491	NCT01362803	A Phase I/II Study of the Mitogen Activated Protein Kinase Kinase (MEK) 1 Inhibitor Selumetinib (AZD6244; HYD Sulfate) in Children with Neurofibromatosis Type 1 (NF1) and Inoperable Plexiform Neurofibromas (PN)	N/A			
NCI-2013-01496	NCT01391962	A Phase II Trial in Which Patients with Metastatic Alveolar Soft Part Sarcoma Are Randomized to Either Sunitinib or Cediranib Monotherapy, with Cross-Over at Disease Progression	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-01520	NCT01572493	A Phase I Study of a Continuous Intravenous Infusion of Recombinant Human IL-15 (rhIL-15) in Adults with Metastatic Cancers	N/A			
NCI-2013-01568	NCT01748825	A Phase I Study of Single-Agent AZD1775 (MK-1775), a Wee1 Inhibitor, in Patients with Advanced Refractory Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-01588	NCT01827384	Molecular Profiling-Based Assignment of Cancer Therapy for Patients with Advanced Solid Tumors	N/A			
NCI-2013-01602	NCT01922076	A Phase 1 Study of AZD1775 (MK-1775, IND# 116495) Concurrent with Local Radiation Therapy for the Treatment of Newly Diagnosed Children with Diffuse Intrinsic Pontine Gliomas	N/A			
NCI-2013-01639	NCT01964300	Phase II Study of Peginterferon Alfa-2b (SYLATRON) for Pediatric Patients with Unresectable or Recurrent Craniopharyngioma	N/A			
NCI-2013-01702	NCT02004275	A Phase I/II Study of Pomalidomide, Dexamethasone, and Ixazomib vs.Pomalidomide and Dexamethasone for Patients with Multiple Myeloma Refractory to Lenalidomide and Proteasome Inhibitor-Based Therapy	N/A			
NCI-2013-01703	NCT01940809	A Sequential Safety and Biomarker Study of BRAF-MEK Inhibition on the Immune Response in the Context of Combined CTLA-4 Blockade and PD-1 Blockade for BRAF Mutant Melanoma	N/A			
NCI-2013-01748	NCT01947023	A Phase 1 Study of Dabrafenib in Combination with Lapatinib in BRAF Mutant Thyroid Cancer	N/A			
NCI-2013-01760	NCT01988571	Preventing Anthracycline Cardiovascular Toxicity with Statins (PREVENT)	N/A			
NCI-2013-01850	NCT01993810	Phase III Randomized Trial Comparing Overall Survival after Photon versus Proton Chemoradiotherapy for Inoperable Stage II-IIIB NSCLC	N/A			
NCI-2013-01904	NCT02054741	A Geriatric Assessment Intervention for Patients Aged 70 and Over Receiving Chemotherapy or Similar Agents for Advanced Cancer: Reducing Toxicity in Older Adults	N/A			
NCI-2013-01999	NCT01946789	A Phase 1 Study of the Clinical and Immunologic Effects of ALT-803, a Novel Recombinant IL-15 Complex in Patients with Advanced Solid Tumors: Melanoma, Renal Cell, Sarcoma, Colon, Non-Hodgkin Lymphoma, Non-small Cell Lung, Squamous Cell Head and Neck Cancer and Cutaneous Squamous Cell Cancer	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-02103	NCT01989585	Phase I/II Study of Dabrafenib, Trametinib, and Navitoclax in BRAF Mutant Melanoma and Other Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2013-02167	NCT01979536	A Randomized Phase 2 Trial of Brentuximab Vedotin (SGN35, NSC# 749710), or Crizotinib (NSC#749005, Commercially Labeled) in Combination with Chemotherapy for Newly Diagnosed Patients with Anaplastic Large Cell Lymphoma (ALCL)	N/A			
NCI-2013-02229	NCT02003222	A Phase III Randomized Trial of Blinatumomab for Newly Diagnosed BCR-ABL-Negative B Lineage Acute Lymphoblastic Leukemia in Adults	N/A			
NCI-2013-02238	NCT01896869	A Phase 2, Multicenter Study of FOLFIRINOX Followed by Ipilimumab in Combination with Allogeneic GM-CSF Transfected Pancreatic Tumor Vaccine in the Treatment of Metastatic Pancreatic Cancer	Inclusion	White blood cells (WBC) >= 3500/uL	Leukocyte count greater than or equal to 3500 per microliter	(C51948 >= 3500/uL)
NCI-2013-02284	NCT02065687	A Randomized Phase II/III Study of Paclitaxel/Carboplatin/Metformin (NSC#91485) versus Paclitaxel/Carboplatin/Placebo as Initial Therapy for Measurable Stage III or IVA, Stage IVB, or Recurrent Endometrial Cancer	N/A			
NCI-2013-02288	NCT02059499	A Randomized, Phase III Study of Intra-anal Imiquimod 2.5 % vs. Topical 5-Fluorouracil 5% vs. Observation for the Treatment of High-Grade Anal Squamous Intraepithelial Lesions in HIV-Positive Men and Women	N/A			
NCI-2013-02426	NCT02029950	A Phase I Study of Pomalidomide Given at the Time of Lymphocyte Recovery following Induction Timed Sequential Chemotherapy with Cytarabine, Daunorubicin, and Etoposide (AcDVP16) in Patients with Newly Diagnosed Acute Myeloid Leukemia (AML) and High-Risk MDS	N/A			
NCI-2014-00115	NCT02015104	A Randomized, Prospective, Phase II Study to Determine the Efficacy of Bacillus Calmette-Guerin (BCG) Given in Combination with PANVACâ„¢ versus BCG Given Alone in Adults with High Grade Non-muscle Invasive Bladder Cancer (NMIBC) Who Failed at Least 1 Induction Course of BCG	N/A			
NCI-2014-00416	NCT02070549	A Phase I Trial of Single Agent Trametinib (GSK1120212) in Advanced Cancer Patients with Hepatic Dysfunction	N/A			
NCI-2014-00461	NCT02079740	An Open Label, Two-Part, Phase Ib/II Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics, and Clinical Activity of the MEK Inhibitor Trametinib and the BCL2-Family Inhibitor Navitoclax (ABT-263) in Combination in Subjects with KRAS or NRAS Mutation-Positive Advanced Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-00547	NCT02095132	A Phase 1/2 Study of AZD1775 (MK-1775) in Combination with Oral Irinotecan in Children, Adolescents, and Young Adults with Relapsed or Refractory Solid Tumors	N/A			
NCI-2014-00615	NCT02097225	Phase I Study of AT13387 in Combination with Dabrafenib and Trametinib in Patients with BRAF-Mutant Melanoma and Other Solid Tumors	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-00616	NCT02152982	A Phase II/III Randomized Trial of Veliparib or Placebo in Combination with Adjuvant Temozolomide in Newly Diagnosed Glioblastoma with MGMT Promoter Hypermethylation	N/A			
NCI-2014-00620	NCT02101775	A Randomized Placebo-Controlled Phase II Trial Comparing Gemcitabine Monotherapy to Gemcitabine in Combination with AZD 1775 (MK 1775) in Women with Recurrent, Platinum Resistant Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancers	Inclusion	Leukocytes >= 3,000/mcL	Leukocyte count greater than or equal to 3000 per microliter	(C51948 >= 3000/uL)
NCI-2014-00623	NCT02143726	Randomized Phase II Study of Sorafenib with or without Everolimus in Patients with Radioactive Iodine Refractory Hurthle Cell Thyroid Cancer	N/A			
NCI-2014-00627	NCT02154490	A Biomarker-Driven Master Protocol for Previously Treated Squamous Cell Lung Cancer (Lung-Map)	N/A			
