nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,Text,Boolean,"{'negated_codes': [], 'possible_codes': [], 'text': u'description', 'affirmed_codes': []}"
NCI-2011-01973,NCT00980954,Phase III Randomized Study of Concurrent Chemotherapy and Pelvic Radiation Therapy with or without Adjuvant Chemotherapy in High-Risk Patients with Early-Stage Cervical Carcinoma following Radical Hysterectomy,Inclusion,"Patients with known human immunodeficiency virus (HIV) positive must have a cluster of differentiation (CD)4 cell count be >= 350 cells/mm^3 within 14 days prior to study entry (note, however, that HIV testing is not required for entry into this protocol)",HIV Negative or HIV positive and CD4>= 350 ,(C15175 = NO) OR (C15175 = C17998) OR (C15175 = YES AND C103810 >= 350 {cells}/mm3),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients with known human immunodeficiency virus (HIV) positive must have a cluster of differentiation (CD)4 cell count be >= 350 cells/mm^3 within 14 days prior to study entry (note, however, that HIV testing is not required for entry into this protocol)', 'affirmed_codes': [u'282254003', u'273362008', u'258259005', u'226164007', u'386708005', u'394404009', u'396331005', u'78494001', u'259032004', u'224699009', u'36682004', u'243144002', u'84847000', u'225761000', u'160244002', u'313392000', u'307143006', u'394837003', u'282119004', u'392985000', u'396136007', u'5801000124106', u'181681008', u'424966008', u'74036000', u'63238001', u'313938009', u'40992002', u'276138003', u'89293008', u'168836005', u'273524006', u'27814009', u'20050000', u'116680003', u'88014003', u'118586006', u'41778007', u'116154003', u'103324002', u'230598008', u'45341000', u'264721006', u'260408008', u'304903009', u'87385003', u'12026006', u'149016008', u'58533008', u'36266005', u'371883000', u'40275004', u'10828004', u'160573003', u'118218001', u'364770009', u'301183007', u'170107008', u'171121004', u'437871001', u'60234000', u'260809006', u'226882008', u'396108002', u'100832001', u'19030005', u'396161005', u'396132009', u'315124004', u'169966009', u'407515008', u'5091004', u'88308000', u'66586000', u'167582007', u'16805009', u'395694002', u'253620009', u'36070007', u'229799001', u'91251008', u'44057004', u'256871003', u'35815003', u'15496002', u'396148005', u'387727008', u'396128003', u'360160009', u'258703001', u'271300009', u'34000006', u'159083000', u'396451008', u'161713000', u'396550006', u'165816005', u'263680009', u'186803007', u'69620002', u'67487000']}"
NCI-2011-01974,NCT00981656,A Phase II Protocol for Patients with Stage T1 Bladder Cancer to Evaluate Selective Bladder Preserving Treatment by Radiation Therapy Concurrent with Radiosensitizing Chemotherapy following a Thorough Transurethral Surgical Re-staging,Exclusion,"Severe, active co-morbidity, defined as follows:


* Acquired immune deficiency syndrome (AIDS) based upon the current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients",AIDS excluded; immunocompromised excluded,(C2851 = NO) AND (C14139 = NO),"{'negated_codes': [], 'possible_codes': [], 'text': u'Severe, active co-morbidity, defined as follows:\n\n\n* Acquired immune deficiency syndrome (AIDS) based upon the current Centers for Disease Control and Prevention (CDC) definition; note, however, that human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients', 'affirmed_codes': [u'277701000', u'418836005', u'219006', u'161045001', u'258259005', u'243215005', u'93235007', u'226164007', u'386708005', u'394404009', u'78494001', u'36682004', u'367409002', u'84847000', u'363708005', u'225761000', u'300841009', u'255260001', u'900000000000550004', u'63813000', u'394837003', u'282119004', u'171165007', u'181681008', u'424966008', u'74036000', u'243218007', u'124220008', u'105542008', u'228319007', u'162171002', u'89293008', u'168836005', u'27814009', u'62479008', u'116680003', u'54470008', u'88014003', u'118586006', u'41778007', u'116154003', u'103324002', u'237751000', u'230598008', u'45341000', u'15240007', u'10024003', u'243216006', u'226253000', u'39463000', u'24484000', u'186705005', u'228453005', u'87385003', u'12026006', u'228447005', u'149016008', u'58533008', u'139451009', u'371883000', u'394411008', u'410584005', u'160573003', u'24594008', u'301183007', u'421939007', u'171121004', u'437871001', u'900000000000073002', u'60234000', u'260809006', u'124221007', u'226882008', u'100832001', u'19030005', u'76053005', u'21594007', u'315124004', u'197284004', u'47757001', u'407515008', u'25967007', u'260409000', u'124214007', u'36070007', u'253620009', u'312453004', u'228452000', u'91251008', u'146684000', u'256871003', u'314791004', u'313299006', u'237755009', u'243217002', u'410585006', u'77765009', u'360160009', u'271300009', u'129729005', u'55561003', u'159083000', u'396451008', u'115470003', u'401338001', u'396550006', u'184888004', u'263680009', u'186803007', u'62676009', u'67487000']}"
NCI-2011-01975,NCT00980460,Treatment of Children with All Stages of Hepatoblastoma with Temsirolimus (NSC#683864) Added to High Risk Stratum Treatment,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-01987,NCT01013649,A Phase II-R and a Phase III Trial Evaluating Both Erlotinib (Ph II-R) and Chemoradiation (Ph III) as Adjuvant Treatment for Patients with Resected Head of Pancreas Adenocarcinoma,Inclusion,Patients with active human immunodeficiency virus (HIV) infection are eligible if their cluster of differentiation (CD)4 count is > 499/cu mm and their viral load is < 50 copies/ml; use of highly active antiretroviral treatment (HAART) is allowed,HIV negative or HIV eligible if CD4 > 499 cell/mm3 and viral load < 50 copies/ml and HAART yes or no.  ,(C15175 = NO) OR (C15175=C17998) OR (C15175 = YES AND C103810 > 499 {cells}/mm3 AND C92544 < 50 {copies}/ml),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients with active human immunodeficiency virus (HIV) infection are eligible if their cluster of differentiation (CD)4 count is > 499/cu mm and their viral load is < 50 copies/ml; use of highly active antiretroviral treatment (HAART) is allowed', 'affirmed_codes': [u'282254003', u'258259005', u'273362008', u'170270002', u'93235007', u'256559000', u'271421005', u'78494001', u'396331005', u'767002', u'36682004', u'84847000', u'170184004', u'313392000', u'282119004', u'168210005', u'171165007', u'5801000124106', u'170175004', u'424966008', u'74036000', u'169438007', u'69960004', u'260313008', u'398074008', u'262009000', u'124220008', u'264706000', u'40992002', u'170105000', u'170112009', u'243126005', u'162171002', u'89293008', u'168836005', u'170157000', u'277132007', u'27814009', u'170130002', u'116680003', u'170308006', u'54470008', u'88014003', u'118586006', u'170121005', u'41778007', u'116154003', u'103324002', u'237751000', u'230598008', u'276239002', u'45341000', u'419385000', u'1368003', u'87385003', u'228453005', u'12026006', u'228447005', u'149016008', u'58533008', u'139451009', u'36266005', u'261583007', u'371883000', u'40275004', u'160573003', u'170166001', u'170279001', u'24594008', u'276139006', u'241397007', u'170297009', u'301183007', u'360270004', u'169439004', u'437871001', u'395058002', u'60234000', u'394850002', u'268458002', u'260809006', u'124221007', u'429659006', u'226882008', u'100832001', u'19030005', u'12484000', u'264705001', u'276140008', u'393485003', u'315124004', u'197284004', u'404836005', u'47757001', u'260676000', u'170288005', u'66586000', u'16805009', u'226048001', u'124214007', u'253620009', u'36070007', u'228452000', u'312453004', u'316244005', u'91251008', u'146684000', u'44057004', u'256871003', u'169437002', u'275923005', u'170148006', u'266917007', u'237755009', u'264703008', u'35815003', u'47545007', u'360160009', u'271300009', u'34000006', u'391023009', u'55561003', u'159083000', u'170261000', u'396451008', u'252374002', u'26604007', u'115470003', u'170139001', u'258734002', u'263680009', u'408485004', u'182657004', u'67487000', u'264708004']}"
NCI-2011-01992,NCT02085408,"Phase III Randomized Trial of Clofarabine as Induction and Post-Remission Therapy vs. Standard Daunorubicin & Cytarabine Induction and Intermediate Dose Cytarabine Post-Remission Therapy, Followed by Decitabine Maintenance vs. Observation in Newly-Diagnosed Acute Myeloid Leukemia in Older Adults (Age >/= 60 Years)",Inclusion,"*B21Patients with known human immunodeficiency virus (HIV) infection are excluded                          

*No human immunodeficiency virus (HIV) infection; patients with immune dysfunction are at a significantly higher risk of toxicities from intensive immunosuppressive therapies",HIV positive excluded ,C15175 = NO OR C15175=C17998 ,"{'negated_codes': [], 'possible_codes': [], 'text': u'*B21Patients with known human immunodeficiency virus (HIV) infection are excluded                          \n\n*No human immunodeficiency virus (HIV) infection; patients with immune dysfunction are at a significantly higher risk of toxicities from intensive immunosuppressive therapies', 'affirmed_codes': [u'131051000', u'302862001', u'258259005', u'391209003', u'86553008', u'165792000', u'235104008', u'78494001', u'36682004', u'84847000', u'232340005', u'88846004', u'160244002', u'255386009', u'281694009', u'125665001', u'74732009', u'282119004', u'415112005', u'424966008', u'74036000', u'62388003', u'417746004', u'131039002', u'67426006', u'307576001', u'30908009', u'266992002', u'89293008', u'168836005', u'391152009', u'118601006', u'33308003', u'27814009', u'165794004', u'64572001', u'116680003', u'88014003', u'312850006', u'228985002', u'118586006', u'41778007', u'238507008', u'391194007', u'116154003', u'103324002', u'230598008', u'45341000', u'282471004', u'410519009', u'44336002', u'118617000', u'30207005', u'87385003', u'12026006', u'5174000', u'118937003', u'277196008', u'58533008', u'149016008', u'371883000', u'160573003', u'34093004', u'401200002', u'301183007', u'373627005', u'75478009', u'60481001', u'118938008', u'391186000', u'437871001', u'38045000', u'56265001', u'312719004', u'60234000', u'391054008', u'260809006', u'429659006', u'226882008', u'100832001', u'105612003', u'76053005', u'19030005', u'230650009', u'238510001', u'170829009', u'238453003', u'274096000', u'235112000', u'19829001', u'391232004', u'36070007', u'253620009', u'391255001', u'416189003', u'31511007', u'91251008', u'391056005', u'256871003', u'170830004', u'156617007', u'77765009', u'275544003', u'314534006', u'360160009', u'414253004', u'271300009', u'131079006', u'13531009', u'234148007', u'66403007', u'159083000', u'396451008', u'84114007', u'263680009', u'262519004', u'391048007', u'279333002', u'67487000']}"
NCI-2011-02000,NCT01042522,"A Randomized Phase II Trial of Paclitaxel and Carboplatin vs. Bleomycin, Etoposide, and Cisplatin for Newly Diagnosed Advanced Stage and Recurrent Chemonaive Sex Cord-Stromal Tumors of the Ovary",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-02029,NCT01096368,Phase III Randomized Trial of Post-radiation Chemotherapy in Patients with Newly Diagnosed Ependymoma Ages 1 to 21 Years,N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-02034,NCT01118026,Phase II Trial of Response-Adapted Therapy Based on Positron Emission Tomography (PET) for Bulky Stage I and Stage II Classical Hodgkin Lymphoma (HL),Inclusion,"Patients with known human immunodeficiency virus (HIV) must have a CD4 count > 350 and be on concurrent antiretrovirals; patients with a history of intravenous drug abuse or any behavior associated with an increased risk of HIV infection should be tested for exposure to the HIV virus; an HIV test is not required for entry on this protocol, but is required if the patient is perceived to be at risk",HIV positive if CD4 > 350 and on retrovirals.  ,(C15175 = NO)  OR (C15175=C17998) OR (C15175 = YES AND C103810 > 350 {cells}/mm3),"{'negated_codes': [], 'possible_codes': [], 'text': u'Patients with known human immunodeficiency virus (HIV) must have a CD4 count > 350 and be on concurrent antiretrovirals; patients with a history of intravenous drug abuse or any behavior associated with an increased risk of HIV infection should be tested for exposure to the HIV virus; an HIV test is not required for entry on this protocol, but is required if the patient is perceived to be at risk', 'affirmed_codes': [u'4740000', u'1096003', u'226164007', u'186538004', u'17735001', u'38837006', u'201175002', u'444454003', u'124088009', u'66069002', u'242575009', u'78494001', u'58660009', u'14732006', u'430696004', u'395979004', u'260371004', u'225761000', u'444356002', u'394837003', u'267007007', u'181681008', u'10501004', u'91576008', u'224052003', u'421124007', u'59349003', u'15302007', u'444386009', u'47009004', u'273524006', u'297241004', u'160471004', u'258022002', u'116680003', u'13687007', u'23426006', u'88014003', u'81665004', u'186745001', u'118586006', u'52012001', u'41778007', u'168440009', u'399844005', u'430679000', u'103324002', u'21166007', u'264395009', u'107577007', u'230598008', u'266994001', u'282471004', u'62944002', u'86380000', u'161663000', u'407456008', u'250515004', u'275104002', u'408552005', u'83084006', u'266988009', u'58533008', u'5876000', u'28944009', u'421887001', u'160573003', u'429952000', u'71677004', u'35105006', u'243584004', u'433276002', u'243578002', u'401200002', u'267021009', u'301183007', u'437871001', u'161556007', u'197141006', u'60234000', u'236915005', u'161424002', u'19030005', u'255396000', u'264705001', u'315124004', u'19631008', u'49872002', u'272393004', u'260366006', u'308069004', u'410513005', u'253620009', u'302919001', u'260367002', u'161429007', u'16979000', u'248026005', u'122409007', u'51042001', u'165813002', u'225224008', u'243633006', u'417770000', u'240530001', u'421603003', u'161464003', u'161506002', u'252218008', u'73731009', u'24625009', u'360160009', u'271749004', u'400911007', u'122305000', u'159083000', u'421654003', u'268474007', u'424409008', u'287079004', u'421170000', u'263680009', u'40413002', u'359730001', u'68405009', u'161486002', u'308070003', u'120665004', u'161413004', u'186803007', u'197823001', u'275572005', u'258259005', u'386708005', u'4908009', u'392521001', u'12067001', u'272392009', u'394404009', u'237558008', u'313274005', u'386605000', u'77985003', u'19965007', u'439007008', u'36682004', u'84847000', u'252472004', u'398092000', u'61667000', u'160244002', u'281694009', u'161432005', u'42786005', u'282119004', u'32828003', u'424966008', u'74036000', u'429950008', u'313938009', u'443508001', u'416107004', u'264706000', u'167735002', u'57177007', u'89293008', u'168836005', u'27814009', u'161798008', u'167728005', u'55735004', u'278677006', u'167734003', u'116154003', u'275560004', u'161672008', u'161615003', u'275526006', u'399211009', u'84101006', u'59048000', u'275571003', u'45341000', u'288256007', u'292871000119100', u'410519009', u'160800006', u'260368007', u'1838001', u'81301003', u'30207005', u'87385003', u'46233009', u'12026006', u'417496004', u'149016008', u'24932003', u'371883000', u'37320007', u'6415009', u'40168006', u'260369004', u'226283009', u'26958001', u'171121004', u'161504004', u'174585003', u'161768001', u'250767002', u'260809006', u'226882008', u'429659006', u'100832001', u'444364008', u'73194009', u'276140008', u'77121009', u'54583007', u'270473001', u'169563005', u'407515008', u'161665007', u'170475009', u'312442005', u'223361004', u'304503004', u'365716004', u'407444007', u'275529004', u'41146007', u'36070007', u'6654000', u'160801005', u'91251008', u'122331003', u'256871003', u'226034001', u'413624004', u'127560004', u'19726003', u'47429007', u'297250002', u'427858005', u'271300009', u'275569003', u'396451008', u'112366000', u'82253006', u'248023002', u'396550006', u'409822003', u'82743006', u'433164007', u'161769009', u'417662000', u'266560008', u'367335002', u'444507004', u'264708004', u'67487000', u'29087002']}"
NCI-2011-02037,NCT01101451,"Randomized Phase III Clinical Trial of Adjuvant Radiation Versus Chemoradiation in Intermediate Risk, Stage I/IIA Cervical Cancer Treated With Initial Radical Hysterectomy and Pelvic Lymphadenectomy",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-02073,NCT02589938,"A Phase III Prospective Randomized Trial of Acupuncture for Treatment
of Radiation-Induced Xerostomia in Patients with Head and Neck Cancer",N/A,,,,"{'negated_codes': [], 'possible_codes': [], 'text': u'', 'affirmed_codes': []}"
NCI-2011-02500,NCT01366144,An Early Phase 1 Study of ABT-888 in Combination with Carboplatin and Paclitaxel in Patients with Hepatic or Renal Dysfunction and Solid Tumors,Exclusion,"Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible; however, HIV-positive patients without an acquired immune deficiency syndrome (AIDS)-defining diagnosis who are not receiving agents with the potential for pharmacokinetic (PK) interactions with ABT-888 may be eligible",HIV positive and antiretrovirals excluded;  HIV positive without AIDS defining diagnosis included  ,(C15175 = NO) OR (C15175=C17998) OR C15175 = YES AND C94631 = NO) OR (C15175 = YES AND C2851 =NO),"{'negated_codes': [], 'possible_codes': [], 'text': u'Human immunodeficiency virus (HIV)-positive patients on combination antiretroviral therapy are ineligible; however, HIV-positive patients without an acquired immune deficiency syndrome (AIDS)-defining diagnosis who are not receiving agents with the potential for pharmacokinetic (PK) interactions with ABT-888 may be eligible', 'affirmed_codes': [u'102975002', u'258259005', u'261217004', u'170270002', u'42101009', u'226164007', u'386708005', u'271421005', u'48318009', u'70536003', u'410942007', u'280952003', u'78494001', u'36682004', u'84847000', u'84478008', u'260872001', u'170184004', u'300841009', u'282119004', u'243359003', u'168524008', u'89780004', u'181681008', u'419815003', u'170175004', u'424966008', u'74036000', u'250424006', u'169438007', u'69960004', u'25162000', u'311914003', u'398074008', u'170105000', u'108290001', u'170112009', u'243126005', u'30067000', u'2533004', u'89293008', u'258277000', u'170157000', u'168836005', u'277132007', u'273360000', u'39953003', u'27814009', u'170130002', u'67101007', u'62479008', u'168525009', u'307488001', u'103330002', u'170308006', u'416118004', u'116680003', u'275834009', u'275927006', u'88014003', u'42513006', u'263903005', u'118586006', u'399315003', u'165127005', u'170121005', u'41778007', u'116154003', u'103324002', u'240166008', u'230598008', u'276239002', u'45341000', u'30481007', u'967006', u'186705005', u'419572002', u'87385003', u'12026006', u'124331002', u'29666006', u'266717002', u'82122004', u'149016008', u'58533008', u'255688002', u'361226000', u'371883000', u'170166001', u'160573003', u'170279001', u'395006008', u'165119001', u'170297009', u'301183007', u'360270004', u'80546007', u'439401001', u'71975005', u'169439004', u'171121004', u'168523002', u'129445006', u'437871001', u'900000000000073002', u'250423000', u'60234000', u'260809006', u'226882008', u'100832001', u'19030005', u'12484000', u'105938001', u'261004008', u'315124004', u'275928001', u'373252002', u'170288005', u'407515008', u'228281002', u'18027006', u'252299004', u'169291001', u'5304008', u'226048001', u'260409000', u'105590001', u'228166004', u'40122008', u'36070007', u'253620009', u'413454004', u'91251008', u'225738002', u'256871003', u'169437002', u'275923005', u'33442008', u'243931006', u'170148006', u'47545007', u'360160009', u'271300009', u'129729005', u'391023009', u'170261000', u'159083000', u'396451008', u'170139001', u'263680009', u'88101002', u'408485004', u'182657004', u'229004005', u'186803007', u'67487000']}"
